"CITYNAME","CITYID","NAHIE","KEYNO","ADDRESS_CODE","FREQ","TYPEOFUSE","ZARFIAT","ZIRBANA","TEDADVAHED","SHAHRROSTA","MAXMASRAFSAAT"
"اردبيل ","001","001","23000334787","010105660007","C","40","6","60","1","1021","6"
"اردبيل ","001","001","23000294966","010105130000","C","40","6","100","1","1021","6"
"اردبيل ","001","001","23000326971","010105660002","C","40","6","60","1","1021","6"
"اردبيل ","001","001","23000330109","010105660004","C","40","6","60","1","1021","6"
"اردبيل ","001","001","23000325483","010105660001","C","40","6","110","1","1021","6"
"اردبيل ","001","001","23000328337","010105660003","C","40","6","60","1","1021","6"
"اردبيل ","001","001","23000333299","010105660006","C","40","6","60","1","1021","6"
"اردبيل ","001","001","23000331823","010105660005","C","40","6","60","1","1021","6"
"اردبيل ","001","001","23000465965","010102120000","C","40","6","0","1","1021","6"
"اردبيل ","001","001","23000639307","010106340000","C","40","6","100","1","1021","6"
"اردبيل ","001","001","23000604518","010102040000","C","40","6","0","1","1021","2.7000000000000002"
"اردبيل ","001","001","23000813724","010105640003","C","40","6","85","1","1021","6"
"اردبيل ","001","001","23000815190","010105640005","C","40","6","85","1","1021","6"
"اردبيل ","001","001","23000804883","010105630050","C","20","6","35","1","1021","6"
"اردبيل ","001","001","23000806307","010105640008","C","40","6","85","1","1021","6"
"اردبيل ","001","001","23000810702","010105640002","C","40","6","85","1","1021","6"
"اردبيل ","001","001","23000809329","010105640001","C","40","6","85","1","1021","6"
"اردبيل ","001","001","23000812236","010105640006","C","40","6","85","1","1021","6"
"اردبيل ","001","001","23000807805","010105640007","C","40","6","85","1","1021","6"
"اردبيل ","001","001","23000816451","010105640004","C","40","6","85","1","1021","6"
"اردبيل ","001","001","23000924134","010105530001","C","40","6","120","1","1021","6"
"اردبيل ","001","001","23001033680","010101850005","C","40","6","120","1","1021","6"
"اردبيل ","001","001","23001035103","010101850004","C","40","6","70","1","1021","6"
"اردبيل ","001","001","23000931325","010105530004","C","40","6","70","1","1021","6"
"اردبيل ","001","001","23001036601","010101850006","C","40","6","120","1","1021","6"
"اردبيل ","001","001","23001039329","010101850008","C","40","6","120","1","1021","6"
"اردبيل ","001","001","23000930063","010105530003","C","40","6","50","1","1021","6"
"اردبيل ","001","001","23000928586","010105530002","C","40","6","120","1","1021","6"
"اردبيل ","001","001","23001038067","010101850007","C","40","6","120","1","1021","6"
"اردبيل ","001","001","23001587205","010103830003","C","40","6","120","1","1021","6"
"اردبيل ","001","001","23001588577","010103830004","C","40","6","120","1","1021","6"
"اردبيل ","001","001","23001665812","010101880001","C","40","6","80","1","1021","6"
"اردبيل ","001","001","23001590112","010103830005","C","40","6","120","1","1021","6"
"اردبيل ","001","001","23001667288","010101880002","C","40","6","80","1","1021","6"
"اردبيل ","001","001","23001591542","010103830006","C","40","6","120","1","1021","6"
"اردبيل ","001","001","23001819644","010106300004","C","40","6","115","1","1021","6"
"اردبيل ","001","001","23001880142","010106520001","C","40","6","110","1","1021","6"
"اردبيل ","001","001","23001881572","010106520003","C","40","6","110","1","1021","6"
"اردبيل ","001","001","23001884368","010106520002","C","40","6","110","1","1021","6"
"اردبيل ","001","001","23001815202","010106300001","C","40","6","115","1","1021","6"
"اردبيل ","001","001","23001818214","010106300003","C","40","6","115","1","1021","6"
"اردبيل ","001","001","23001816622","010106300002","C","40","6","115","1","1021","6"
"اردبيل ","001","001","23002086205","010105980002","C","40","6","100","1","1021","6"
"اردبيل ","001","001","23002089385","010105980004","C","40","6","100","1","1021","6"
"اردبيل ","001","001","23002084603","010105980001","C","40","6","100","1","1021","6"
"اردبيل ","001","001","23002087851","010105980003","C","40","6","100","1","1021","6"
"اردبيل ","001","001","23002252170","010100440000","C","28","10","200","1","1021","10"
"اردبيل ","001","001","23002560050","010101370000","C","40","6","90","1","1021","6"
"اردبيل ","001","001","23002508276","010104170000","C","40","6","100","1","1021","6"
"اردبيل ","001","001","23002540213","010101010000","C","40","10","150","1","1021","10"
"اردبيل ","001","001","23002953616","010106230000","C","40","6","0","1","1021","4.7999999999999998"
"اردبيل ","001","001","23003070682","010102710000","C","22","16","300","1","1021","16"
"اردبيل ","001","001","23003261870","010101800001","C","40","6","110","1","1021","6"
"اردبيل ","001","001","23003334200","010101840052","C","40","6","90","1","1021","6"
"اردبيل ","001","001","23003335856","010101840053","C","40","6","90","1","1021","6"
"اردبيل ","001","001","23003890923","010101440000","C","40","65","2000","8","1021","65"
"اردبيل ","001","001","23003889776","010101420004","C","40","6","100","1","1021","6"
"اردبيل ","001","001","23004247375","010106450000","C","40","6","80","1","1021","6"
"اردبيل ","001","001","23004282855","010106730000","C","40","6","0","1","1021","4"
"اردبيل ","001","001","23004269440","010101570000","C","40","6","100","1","1021","6"
"اردبيل ","001","001","23004514194","010105060000","C","40","25","0","2","1021","16.899999999999999"
"اردبيل ","001","001","23004613800","010103810000","C","40","10","0","2","1021","7.5"
"اردبيل ","001","001","23004495766","010105730004","C","40","6","60","1","1021","6"
"اردبيل ","001","001","23004725630","010100770000","C","40","16","0","2","1021","11.199999999999999"
"اردبيل ","001","001","23004726901","010100760000","C","40","10","0","1","1021","6.7999999999999998"
"اردبيل ","001","001","23004806169","010104820000","C","23","10","140","1","1021","10"
"اردبيل ","001","001","23004743137","010104830000","C","40","16","0","2","1021","10.6"
"اردبيل ","001","001","23004693850","010100300000","C","40","16","0","1","1021","10.6"
"اردبيل ","001","001","23004647770","010105260000","C","40","6","80","1","1021","2.7000000000000002"
"اردبيل ","001","001","23004936959","010106440000","C","40","10","180","1","1021","6.2999999999999998"
"اردبيل ","001","001","23004938609","010104360000","C","40","10","90","1","1021","10"
"اردبيل ","001","001","23005032817","010104870000","C","40","10","0","1","1021","6.2999999999999998"
"اردبيل ","001","001","23004921269","010104390001","C","40","10","160","1","1021","10"
"اردبيل ","001","001","23005079400","010104790001","C","40","6","90","1","1021","6"
"اردبيل ","001","001","23005055154","010103950000","C","40","6","110","1","1021","3.7000000000000002"
"اردبيل ","001","001","23004989520","010105210050","C","40","10","0","1","1021","7.5"
