"BUL_ID","FROMDATE","TODATE","CONSUMPTION"
"23000330109","1399/03/24","1399/05/06","55"
"23000330109","1399/02/08","1399/03/24","220"
"23000330109","1398/12/20","1399/02/08","230"
"23000330109","1398/11/06","1398/12/20","375"
"23000330109","1398/09/20","1398/11/06","390"
"23000330109","1398/08/08","1398/09/20","260"
"23000330109","1398/06/24","1398/08/08","85"
"23000330109","1398/05/07","1398/06/24","45"
"23000330109","1398/03/23","1398/05/07","50"
"23000330109","1398/02/05","1398/03/23","80"
"23000330109","1397/12/13","1398/02/05","290"
"23000330109","1397/11/07","1397/12/13","245"
"23000330109","1397/09/21","1397/11/07","295"
"23000330109","1397/08/10","1397/09/21","175"
"23000330109","1397/06/20","1397/08/10","80"
"23000330109","1397/05/13","1397/06/20","25"
"23000330109","1397/03/28","1397/05/13","40"
"23000330109","1397/02/16","1397/03/28","60"
"23000330109","1397/01/27","1397/02/16","17"
"23000330109","1396/12/16","1397/01/27","184"
"23001038067","1399/03/25","1399/05/05","185"
"23001038067","1399/02/08","1399/03/25","289"
"23001038067","1398/12/19","1399/02/08","511"
"23001038067","1398/11/05","1398/12/19","725"
"23001038067","1398/09/19","1398/11/05","770"
"23001038067","1398/08/06","1398/09/19","605"
"23001038067","1398/06/21","1398/08/06","240"
"23001038067","1398/05/07","1398/06/21","145"
"23001038067","1398/03/23","1398/05/07","135"
"23001038067","1398/01/30","1398/03/23","295"
"23001038067","1397/12/12","1398/01/30","550"
"23001038067","1397/11/07","1397/12/12","560"
"23001038067","1397/09/19","1397/11/07","790"
"23001038067","1397/08/07","1397/09/19","525"
"23001038067","1397/06/19","1397/08/07","285"
"23001038067","1397/05/09","1397/06/19","150"
"23001038067","1397/03/24","1397/05/09","185"
"23001038067","1397/02/13","1397/03/24","190"
"23001038067","1397/01/26","1397/02/13","138"
"23001038067","1396/12/16","1397/01/26","359"
"23001588577","1399/03/21","1399/05/04","50"
"23001588577","1399/02/08","1399/03/21","38"
"23001588577","1398/12/18","1399/02/08","397"
"23001588577","1398/11/03","1398/12/18","490"
"23001588577","1398/09/19","1398/11/03","415"
"23001588577","1398/08/04","1398/09/19","330"
"23001588577","1398/06/23","1398/08/04","140"
"23001588577","1398/05/02","1398/06/23","110"
"23001588577","1398/03/21","1398/05/02","40"
"23001588577","1398/01/29","1398/03/21","235"
"23001588577","1397/12/12","1398/01/29","350"
"23001588577","1397/11/06","1397/12/12","375"
"23001588577","1397/09/19","1397/11/06","490"
"23001588577","1397/08/07","1397/09/19","370"
"23001588577","1397/06/19","1397/08/07","260"
"23001588577","1397/05/09","1397/06/19","140"
"23001588577","1397/03/24","1397/05/09","100"
"23001588577","1397/02/14","1397/03/24","225"
"23001588577","1397/01/26","1397/02/14","148"
"23001588577","1396/12/16","1397/01/26","341"
"23001591542","1399/03/21","1399/05/04","175"
"23001591542","1399/02/08","1399/03/21","225"
"23001591542","1398/12/18","1399/02/08","570"
"23001591542","1398/11/03","1398/12/18","690"
"23001591542","1398/09/19","1398/11/03","610"
"23001591542","1398/08/04","1398/09/19","520"
"23001591542","1398/06/23","1398/08/04","240"
"23001591542","1398/05/02","1398/06/23","255"
"23001591542","1398/03/21","1398/05/02","205"
"23001591542","1398/01/29","1398/03/21","405"
"23001591542","1397/12/12","1398/01/29","585"
"23001591542","1397/11/06","1397/12/12","520"
"23001591542","1397/09/19","1397/11/06","670"
"23001591542","1397/08/07","1397/09/19","470"
"23001591542","1397/06/19","1397/08/07","250"
"23001591542","1397/05/09","1397/06/19","155"
"23001591542","1397/03/24","1397/05/09","195"
"23001591542","1397/02/14","1397/03/24","245"
"23001591542","1397/01/26","1397/02/14","164"
"23001591542","1396/12/16","1397/01/26","422"
"23004269440","1399/03/25","1399/05/06","105"
"23004269440","1399/02/08","1399/03/25","409"
"23004269440","1398/12/20","1399/02/08","676"
"23004269440","1398/11/05","1398/12/20","1295"
"23004269440","1398/09/20","1398/11/05","975"
"23004269440","1398/08/06","1398/09/20","600"
"23004269440","1398/06/21","1398/08/06","310"
"23004269440","1398/05/07","1398/06/21","90"
"23004269440","1398/03/22","1398/05/07","65"
"23004269440","1398/01/30","1398/03/22","295"
"23004269440","1397/12/12","1398/01/30","740"
"23004269440","1397/11/07","1397/12/12","765"
"23004269440","1397/09/19","1397/11/07","1030"
"23004269440","1397/08/07","1397/09/19","680"
"23004269440","1397/06/19","1397/08/07","280"
"23004269440","1397/05/09","1397/06/19","55"
"23004269440","1397/03/24","1397/05/09","70"
"23004269440","1397/02/13","1397/03/24","215"
"23004269440","1397/01/25","1397/02/13","241"
"23004269440","1396/12/13","1397/01/25","437"
"23004514194","1399/03/26","1399/05/05","162"
"23004514194","1399/01/20","1399/03/26","659"
"23004514194","1398/12/19","1399/01/20","478"
"23004514194","1398/11/07","1398/12/19","961"
"23004514194","1398/09/19","1398/11/07","1315"
"23004514194","1398/08/06","1398/09/19","826"
"23004514194","1398/06/23","1398/08/06","312"
"23004514194","1398/05/07","1398/06/23","172"
"23004514194","1398/03/22","1398/05/07","140"
"23004514194","1397/12/13","1398/03/22","889"
"23004514194","1397/11/07","1397/12/13","834"
"23004514194","1397/09/20","1397/11/07","1558"
"23004514194","1397/08/09","1397/09/20","1034"
"23004514194","1397/06/20","1397/08/09","373"
"23004514194","1397/05/11","1397/06/20","117"
"23004514194","1397/03/27","1397/05/11","107"
"23004514194","1397/02/15","1397/03/27","160"
"23004514194","1396/12/17","1397/02/15","529"
"23004647770","1399/02/08","1399/05/06","546"
"23004647770","1398/12/20","1399/02/08","464"
"23004647770","1398/11/05","1398/12/20","810"
"23004647770","1398/09/20","1398/11/05","795"
"23004647770","1398/08/08","1398/09/20","560"
"23004647770","1398/06/23","1398/08/08","190"
"23004647770","1398/05/07","1398/06/23","90"
"23004647770","1398/03/22","1398/05/07","95"
"23004647770","1398/02/05","1398/03/22","170"
"23004647770","1397/12/13","1398/02/05","505"
"23004647770","1397/11/06","1397/12/13","630"
"23004647770","1397/09/20","1397/11/06","740"
"23004647770","1397/08/28","1397/09/20","231"
"23004647770","1397/08/09","1397/08/28","239"
"23004647770","1397/06/20","1397/08/09","290"
"23004647770","1397/05/11","1397/06/20","100"
"23004647770","1397/03/27","1397/05/11","70"
"23004647770","1397/02/15","1397/03/27","170"
"23004647770","1397/01/27","1397/02/15","173"
"23004647770","1396/12/16","1397/01/27","325"
"23004989520","1399/03/21","1399/05/05","50"
"23004989520","1399/02/08","1399/03/21","337"
"23004989520","1398/12/19","1399/02/08","608"
"23004989520","1398/11/05","1398/12/19","985"
"23004989520","1398/09/20","1398/11/05","950"
"23004989520","1398/08/08","1398/09/20","720"
"23004989520","1398/06/23","1398/08/08","280"
"23004989520","1398/05/07","1398/06/23","100"
"23004989520","1398/03/22","1398/05/07","40"
"23004989520","1398/02/05","1398/03/22","140"
"23004989520","1397/12/13","1398/02/05","795"
"23004989520","1397/11/06","1397/12/13","735"
"23004989520","1397/09/20","1397/11/06","910"
"23004989520","1397/08/09","1397/09/20","570"
"23004989520","1397/06/20","1397/08/09","230"
"23004989520","1397/05/11","1397/06/20","25"
"23004989520","1397/03/27","1397/05/11","25"
"23004989520","1397/01/27","1397/03/27","185"
"23004989520","1396/12/17","1397/01/27","382"
"23004871982","1398/11/03","1399/02/08","1630"
"23004871982","1398/09/19","1398/11/03","1220"
"23004871982","1398/08/04","1398/09/19","949"
"23004871982","1398/06/23","1398/08/04","186"
"23004871982","1398/05/02","1398/06/23","128"
"23004871982","1398/03/23","1398/05/02","84"
"23004871982","1398/02/04","1398/03/23","245"
"23004871982","1397/12/12","1398/02/04","743"
"23004871982","1397/11/06","1397/12/12","858"
"23004871982","1397/09/19","1397/11/06","1092"
"23004871982","1397/08/07","1397/09/19","715"
"23004871982","1397/06/19","1397/08/07","204"
"23004871982","1397/05/09","1397/06/19","101"
"23004871982","1397/03/24","1397/05/09","99"
"23004871982","1397/02/14","1397/03/24","126"
"23004871982","1397/01/31","1397/02/14","63"
"23004871982","1396/12/16","1397/01/31","537"
"23005427907","1399/03/20","1399/05/04","65"
"23005427907","1399/01/13","1399/03/20","323"
"23005427907","1398/11/03","1399/01/13","706"
"23005427907","1398/09/18","1398/11/03","491"
"23005427907","1398/08/05","1398/09/18","332"
"23005427907","1398/06/23","1398/08/05","58"
"23005427907","1398/05/02","1398/06/23","35"
"23005427907","1398/03/21","1398/05/02","40"
"23005427907","1398/01/29","1398/03/21","130"
"23005427907","1397/12/11","1398/01/29","365"
"23005427907","1397/11/06","1397/12/11","330"
"23005427907","1397/09/20","1397/11/06","475"
"23005427907","1397/08/09","1397/09/20","305"
"23005427907","1397/05/11","1397/08/09","105"
"23005427907","1397/03/27","1397/05/11","40"
"23005427907","1397/02/15","1397/03/27","80"
"23005427907","1397/01/31","1397/02/15","67"
"23005427907","1396/10/24","1397/01/31","890"
"23005378145","1399/03/21","1399/05/04","25"
"23005378145","1399/02/08","1399/03/21","241"
"23005378145","1398/12/18","1399/02/08","344"
"23005378145","1398/11/03","1398/12/18","765"
"23005378145","1398/09/19","1398/11/03","675"
"23005378145","1398/08/04","1398/09/19","505"
"23005378145","1398/06/23","1398/08/04","85"
"23005378145","1398/05/02","1398/06/23","55"
"23005378145","1397/12/11","1398/05/02","765"
"23005378145","1397/11/06","1397/12/11","555"
"23005378145","1397/09/20","1397/11/06","690"
"23005378145","1397/08/09","1397/09/20","505"
"23005378145","1397/06/20","1397/08/09","85"
"23005378145","1397/05/11","1397/06/20","25"
"23005378145","1397/03/24","1397/05/11","30"
"23005378145","1397/02/15","1397/03/24","40"
"23005378145","1396/12/16","1397/02/15","339"
"23005885608","1399/03/25","1399/05/13","0"
"23005885608","1398/11/15","1399/03/25","0"
"23005885608","1398/09/21","1398/11/15","0"
"23005885608","1398/08/09","1398/09/21","0"
"23005885608","1398/06/21","1398/08/09","0"
"23005885608","1398/05/08","1398/06/21","0"
"23005885608","1398/04/22","1398/05/08","0"
"23005885608","1398/03/25","1398/04/22","4"
"23005885608","1398/02/08","1398/03/25","10"
"23005885608","1397/12/15","1398/02/08","90"
"23005885608","1397/11/08","1397/12/15","100"
"23005885608","1397/09/22","1397/11/08","130"
"23005885608","1397/08/10","1397/09/22","62"
"23005885608","1397/06/21","1397/08/10","0"
"23005885608","1397/05/14","1397/06/21","0"
"23005885608","1397/03/30","1397/05/14","28"
"23005885608","1397/02/13","1397/03/30","15"
"23005885608","1397/01/31","1397/02/13","50"
"23005885608","1396/12/16","1397/01/31","143"
"23006148690","1399/03/24","1399/05/07","85"
"23006148690","1399/02/08","1399/03/24","150"
"23006148690","1398/12/21","1399/02/08","350"
"23006148690","1398/11/06","1398/12/21","480"
"23006148690","1398/09/21","1398/11/06","500"
"23006148690","1398/08/08","1398/09/21","500"
"23006148690","1398/06/24","1398/08/08","140"
"23006148690","1398/05/08","1398/06/24","100"
"23006148690","1398/03/25","1398/05/08","95"
"23006148690","1398/02/05","1398/03/25","130"
"23006148690","1397/12/13","1398/02/05","435"
"23006148690","1397/11/08","1397/12/13","410"
"23006148690","1397/09/21","1397/11/08","570"
"23006148690","1397/08/09","1397/09/21","365"
"23006148690","1397/06/21","1397/08/09","150"
"23006148690","1397/03/28","1397/06/21","150"
"23006148690","1397/02/16","1397/03/28","100"
"23006148690","1397/01/27","1397/02/16","105"
"23006148690","1396/12/10","1397/01/27","326"
"23006353455","1399/02/08","1399/03/21","296"
"23006353455","1398/12/19","1399/02/08","699"
"23006353455","1398/11/05","1398/12/19","1035"
"23006353455","1398/09/19","1398/11/05","1020"
"23006353455","1398/08/06","1398/09/19","820"
"23006353455","1398/06/23","1398/08/06","270"
"23006353455","1398/05/07","1398/06/23","170"
"23006353455","1398/03/22","1398/05/07","140"
"23006353455","1398/02/05","1398/03/22","297"
"23006353455","1397/12/13","1398/02/05","708"
"23006353455","1397/11/06","1397/12/13","805"
"23006353455","1397/09/20","1397/11/06","1010"
"23006353455","1397/08/09","1397/09/20","725"
"23006353455","1397/06/20","1397/08/09","410"
"23006353455","1397/05/11","1397/06/20","90"
"23006353455","1397/03/27","1397/05/11","110"
"23006353455","1397/02/15","1397/03/27","280"
"23006353455","1397/01/26","1397/02/15","226"
"23006353455","1396/12/16","1397/01/26","576"
"23006269950","1399/03/25","1399/05/04","146"
"23006269950","1399/02/08","1399/03/25","380"
"23006269950","1398/12/20","1399/02/08","565"
"23006269950","1398/11/05","1398/12/20","840"
"23006269950","1398/09/20","1398/11/05","865"
"23006269950","1398/08/06","1398/09/20","600"
"23006269950","1398/06/21","1398/08/06","260"
"23006269950","1398/05/07","1398/06/21","145"
"23006269950","1398/03/22","1398/05/07","130"
"23006269950","1398/01/30","1398/03/22","325"
"23006269950","1397/12/12","1398/01/30","570"
"23006269950","1397/11/07","1397/12/12","575"
"23006269950","1397/09/19","1397/11/07","790"
"23006269950","1397/08/07","1397/09/19","530"
"23006269950","1397/06/19","1397/08/07","255"
"23006269950","1397/05/09","1397/06/19","100"
"23006269950","1397/03/24","1397/05/09","125"
"23006269950","1397/02/13","1397/03/24","250"
"23006269950","1397/01/25","1397/02/13","245"
"23006269950","1396/12/13","1397/01/25","445"
"23006294649","1399/03/20","1399/05/04","0"
"23006294649","1399/02/08","1399/03/20","70"
"23006294649","1398/12/18","1399/02/08","25"
