"BUL_ID","FROMDATE","TODATE","CONSUMPTION"
"23000423306","1399/03/20","1399/06/02","129"
"23000423306","1398/11/20","1399/03/20","658"
"23000423306","1398/10/02","1398/11/20","344"
"23000423306","1398/07/04","1398/10/02","554"
"23000423306","1398/05/20","1398/07/04","104"
"23000423306","1398/04/03","1398/05/20","135"
"23000423306","1398/02/21","1398/04/03","140"
"23000423306","1397/10/05","1398/02/21","57"
"23000423306","1397/08/26","1397/10/05","248"
"23000423306","1397/07/08","1397/08/26","172"
"23000423306","1397/05/25","1397/07/08","60"
"23000423306","1397/05/13","1397/05/25","8"
"23000423306","1397/04/02","1397/05/13","53"
"23000423306","1397/02/19","1397/04/02","79"
"23000423306","1396/12/28","1397/02/19","355"
"23000337051","1399/04/25","1399/06/10","138"
"23000337051","1399/03/01","1399/04/25","138"
"23000337051","1399/01/31","1399/03/01","258"
"23000337051","1398/11/21","1399/01/31","477"
"23000337051","1398/10/07","1398/11/21","415"
"23000337051","1398/08/23","1398/10/07","395"
"23000337051","1398/07/06","1398/08/23","311"
"23000337051","1398/05/23","1398/07/06","90"
"23000337051","1398/04/04","1398/05/23","130"
"23000337051","1398/02/23","1398/04/04","99"
"23000337051","1398/01/07","1398/02/23","239"
"23000337051","1397/11/18","1398/01/07","371"
"23000337051","1397/08/27","1397/11/18","668"
"23000337051","1397/07/09","1397/08/27","253"
"23000337051","1397/05/27","1397/07/09","145"
"23000337051","1397/04/04","1397/05/27","131"
"23000337051","1397/02/20","1397/04/04","117"
"23000337051","1396/12/28","1397/02/20","288"
"23000420394","1399/01/31","1399/06/02","716"
"23000420394","1398/11/20","1399/01/31","171"
"23000420394","1398/10/02","1398/11/20","494"
"23000420394","1398/07/04","1398/10/02","557"
"23000420394","1398/05/20","1398/07/04","136"
"23000420394","1398/04/03","1398/05/20","130"
"23000420394","1398/02/21","1398/04/03","130"
"23000420394","1397/10/05","1398/02/21","313"
"23000420394","1397/08/26","1397/10/05","55"
"23000420394","1397/07/08","1397/08/26","43"
"23000420394","1397/05/25","1397/07/08","23"
